name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,100,19.586556,1550,19033.0000000002,0.516610906196561,0.046063105062667,11.107731571198,11.372344398499,126.320948913744,91.8098072257731,72.679795406274,5.62696864100959,4.08966929586096
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,0,1.2407304,1000,0,0.000146706096245,0.000134744546209,11.141967277527,0.01424983647652,0.158771211731496,0,0,,
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,34.8333333333333,149.22783165,1209,8411.00000000002,0.078492933804495,0.009523407787586,11.115471153259,1.3399206292629,14.8938491022284,8.38819720217924,56.3198750343469,9.35754512114981,5.2701577185142
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,38.3333333333333,142.3560325,1230,9872.99999999999,0.109428026419583,0.012077418511249,11.104402246475,1.9596232950687,21.7604453200056,12.4868205625165,57.3831113237221,8.76348193455015,5.02875859433719
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,41.8333333333333,135.51938005,1251,11015.0000000005,0.133690867715418,0.014146657761616,11.094889039993,2.4952413439751,27.6844258394067,16.3180014201877,58.9428927110356,8.19284569677894,4.82910024903311
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,45.1666666666667,128.71562985,1271,12075.9999999999,0.162495877278826,0.016722435472517,11.083507108688,3.1391912269592,34.7932482795333,21.1471210426595,60.7793813120318,7.68406616442152,4.67032787434257
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,48.6666666666667,121.81482365,1292,12884,0.18513165086576,0.01898046780992,11.073646068573,3.6858016180992,40.8152625978042,25.6086241612794,62.7427646702367,7.22926970616722,4.53584367911721
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,52,114.9684903,1312,13712.0000000002,0.21222766208741,0.021235951958948,11.062739801407,4.3344521284103,47.9509160782579,30.4930704218394,63.5922583253121,6.95986527927378,4.42593550748948
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,55.5,108.1870802,1333,14447.9999999996,0.233017106418104,0.023116092750255,11.052990159988,4.8946992874146,54.1010630598938,34.9744407941339,64.6464945714923,6.66249698714803,4.30707075312248
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,58.8333333333333,101.42101135,1353,15152.0000000001,0.255685409635146,0.025436454819805,11.042310934067,5.5077528953552,60.8183200185199,40.3603720942504,66.362194947115,6.33506076301931,4.20408537357307
