,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
267,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,128.8,,10010.71163781351,0.025272594199866084,4.234463801357617,0.18912392680624496,0.7564957072249798,,,,,
269,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,DALPROP 6040,6.0,4.0,4.32,Nylon,,125.28,,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,3.555474181803335
270,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,128.92000000000002,,10846.495168661319,0.013725799035870612,2.299779702172854,0.1543099979594051,0.6172399918376203,,,,,
271,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,128.0,,10095.333084364347,0.024103503790998734,4.038580823230682,0.18225180676497643,0.7290072270599057,,,,,
272,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,KingKong 6040,6.0,4.0,3.38,Plastic,,121.52,,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,3.555474181803335
273,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,135.12,,9582.250277615287,0.031192016369955004,5.226272505520171,0.23385942401195647,0.9354376960478259,,,,,
274,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,122.8,,10484.654478206465,0.0187248211276827,3.137373893040579,0.16259334830043531,0.6503733932017413,6305.0851208555405,0.0073083748389465185,1.2245299527539346,0.577202876726793,3.6748794832495704
504,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1750,36.9,,0.065,17.5,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,176.48,96.0,12573.911129166152,0.01804149035074806,3.30627578755032,0.2037296640725487,0.8149186562901948,,,,,
505,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1750,36.9,,0.065,17.5,Gemfan 5040 R,5.0,4.0,3.0,ABS,,179.6,,12529.600698127386,0.02016712147152036,3.695818038440568,0.19142162059626094,0.7656864823850438,,,,,
506,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1750,36.9,,0.065,17.5,6045 plastic,6.0,4.5,6.0,Plastic,,191.6,,11968.833903750488,0.04706786086149165,8.62563601098473,0.3552494518235317,1.4209978072941267,,,,,
