,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
68731,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,203.0,,12606.418104578584,0.036353951919362686,11.420930827882637,0.2767180091148898,1.1068720364595592,5713.351692126776,0.0084082427956027,2.6415273795121745,0.3573078689602279,19.874864976677042
68646,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,14.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,201.12,,18264.107547320273,0.03599227836273136,16.960961593547356,0.4110125087750057,1.644050035100023,6706.645622388604,0.005640103868086394,2.657836284324198,0.2721566813345947,19.752909654233672
68640,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,14.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,189.07999999999998,92.0,18264.107547320273,0.03599227836273136,16.960961593547356,0.4110125087750057,1.644050035100023,6706.645622388604,0.005640103868086394,2.657836284324198,0.2721566813345947,19.752909654233672
68838,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,13.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,,196.72,,15795.973932031226,0.027514590347941265,12.965945235532427,0.31283633563172497,1.2513453425268999,6706.645622990303,0.005640103970512221,2.6578363804171294,0.3091508929895926,19.752908940075717
68832,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,13.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,184.68,88.0,15795.973932031226,0.027514590347941265,12.965945235532427,0.31283633563172497,1.2513453425268999,6706.645622990303,0.005640103970512221,2.6578363804171294,0.3091508929895926,19.752908940075717
68727,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,203.8,,12355.806975514535,0.03730362994566983,11.71927741010173,0.28092478944091603,1.1236991577636641,5555.010956358731,0.008500740485288302,2.6705863407828865,0.351274931649385,19.658604254153992
116055,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,13.0,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,202.2,,10251.976557597787,0.026410931361884993,16.594477003336404,0.1977837760336924,0.7911351041347696,5555.010958292009,0.008500740609485104,5.341172834197119,0.4234529458970252,19.658603692382393
116085,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,13.0,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,200.92000000000002,,7610.594060480243,0.020368211158323046,12.797724508350663,0.15165713443153372,0.6066285377261349,4749.418697334198,0.008513603151011838,5.349254610910952,0.48862923215192283,19.62890302245662
116078,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,13.0,6045 plastic,6.0,4.5,6.0,Plastic,,197.8,,7610.594060480243,0.020368211158323046,12.797724508350663,0.15165713443153372,0.6066285377261349,4749.418697334198,0.008513603151011838,5.349254610910952,0.48862923215192283,19.62890302245662
116054,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,13.0,6045 plastic,6.0,4.5,6.0,Plastic,,205.4,,9175.955891204054,0.028789458318913306,18.088950151105482,0.21556608452297266,0.8622643380918906,4749.418697416223,0.00851360316319342,5.349254626047869,0.3874271183860671,19.628902966912232
