,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in],Propeller num
16,10401.00000000018,0.013111405599896,0.1340901064664895,6.0,3.0,1
17,9273.00000000005,0.010646120875639,0.1039478340265534,6.0,3.0,1
18,7873.999999999991,0.0081200254915585,0.0730192995607501,6.0,3.0,1
19,6248.999999999963,0.0041133504278729,0.0432894025247408,6.0,3.0,1
20,3750.999999999964,0.001666376255724,0.0144466218131298,6.0,3.0,1
0,0.0,5.31516859813e-05,4.23850861703e-05,6.0,3.0,1
1,16173.000000000407,0.030217186137967,0.3573260185687366,6.0,3.0,1
2,15947.999999999676,0.029540754660839,0.3468125090559569,6.0,3.0,1
3,15647.999999999658,0.028346904198955,0.3304653349145937,6.0,3.0,1
4,15396.000000000176,0.027192920733047,0.3180761658621854,6.0,3.0,1
5,15117.000000000033,0.02627020898137,0.3032396595072221,6.0,3.0,1
6,14761.999999999833,0.024842050068907,0.28593892768089,6.0,3.0,1
7,14354.999999999847,0.023690441714684,0.2715874535582284,6.0,3.0,1
8,13998.000000000024,0.022399021577161,0.2558663232667527,6.0,3.0,1
9,13618.999999999556,0.021241444976286,0.2420436311571739,6.0,3.0,1
10,13224.999999999996,0.020045209181315,0.2264836553287718,6.0,3.0,1
11,12709.000000000422,0.018577627548261,0.2088806901522436,6.0,3.0,1
12,12269.999999999758,0.017288727283913,0.1928932075078951,6.0,3.0,1
13,11829.000000000427,0.016206032902777,0.1770547912795093,6.0,3.0,1
14,11231.000000000013,0.014553654715587,0.158599662945491,6.0,3.0,1
15,10693.999999999603,0.013271902335076,0.141904622125527,6.0,3.0,1
16,9954.000000000064,0.011573165422089,0.12096549282493,6.0,3.0,1
17,9356.000000000033,0.010444263292034,0.1049720343040181,6.0,3.0,1
18,8574.999999999976,0.0088616843126376,0.0860579433237344,6.0,3.0,1
19,7613.000000000003,0.0072879162901487,0.0665847727063625,6.0,3.0,1
20,6611.999999999997,0.0042143694768445,0.0491369065627732,6.0,3.0,1
0,0.0,3.11911833496e-05,-0.0004275430261237,6.0,3.0,1
1,4438.0,0.0019409165213114,0.0156694635043149,6.0,3.0,1
